P_CODE,VDC_NAME,DISTRICT,REGION,Hazard_Intensity,Exposure_Population,Vulnerability_Housing,Vulnerability_Poverty,Vulnerability_index,Severity,Severity category
C-BAG-27-031,KathmanduN.P.,Kathmandu,Central,9.23,10.00,8.86,1.82,5.34,7.90,Highest
C-JAN-22-004,BhimesworN.P.,Dolakha,Central,8.77,7.27,7.53,5.86,6.70,7.53,Highest
C-JAN-20-025,KamalamiN.P.,Sindhuli,Central,9.31,7.67,5.19,6.55,5.87,7.48,Highest
C-NAR-32-019,Chandranigahapur,Rautahat,Central,8.34,7.38,4.38,9.14,6.76,7.46,Highest
W-GAN-36-050,PrithbinarayanN.P.,Gorkha,Western,9.47,7.53,6.44,5.21,5.83,7.46,Highest
C-JAN-17-048,JanakpurN.P.,Dhanusa,Central,7.80,8.33,4.78,7.70,6.24,7.40,Highest
C-BAG-23-058,Sangachok,Sindhupalchok,Central,9.04,6.65,6.85,6.57,6.71,7.39,Highest
C-BAG-27-028,Jorpati,Kathmandu,Central,9.17,8.23,8.86,1.82,5.34,7.38,Highest
C-BAG-28-008,BidurN.P.,Nuwakot,Central,9.25,7.39,5.91,5.85,5.88,7.38,Highest
E-KOS-05-013,BiratnagarN.P.,Morang,Eastern,6.46,8.86,5.10,8.77,6.93,7.35,Highest
C-BAG-30-035,Nilkantha,Dhading,Central,9.19,7.19,6.82,5.15,5.99,7.34,Highest
C-JAN-20-026,Kapilakot,Sindhuli,Central,9.89,6.78,5.19,6.55,5.87,7.33,Highest
C-NAR-32-033,GaurN.P.,Rautahat,Central,7.64,7.59,4.38,9.14,6.76,7.32,Highest
C-NAR-32-024,Dumariya(Matiauna),Rautahat,Central,8.21,6.99,4.38,9.14,6.76,7.29,Highest
C-JAN-18-036,KhayarMara,Mahottari,Central,9.10,6.58,4.33,8.62,6.48,7.29,Highest
C-NAR-32-090,Santpur(Matiaun),Rautahat,Central,8.23,6.98,4.38,9.14,6.76,7.29,Highest
C-BAG-30-002,Baireni,Dhading,Central,9.39,6.89,6.82,5.15,5.99,7.29,Highest
C-JAN-19-040,Hariyon,Sarlahi,Central,8.55,7.19,4.21,8.35,6.28,7.28,Highest
C-BAG-27-033,KirtipurN.P.,Kathmandu,Central,8.99,8.04,8.86,1.82,5.34,7.28,Highest
C-BAG-30-034,Naubise,Dhading,Central,9.27,6.95,6.82,5.15,5.99,7.28,Highest
C-NAR-32-016,Bishrampur,Rautahat,Central,8.36,6.81,4.38,9.14,6.76,7.27,Highest
C-BAG-27-022,Gonggabu,Kathmandu,Central,9.08,7.91,8.86,1.82,5.34,7.27,Highest
C-NAR-32-084,Rangapur,Rautahat,Central,8.40,6.75,4.38,9.14,6.76,7.26,Highest
C-JAN-20-024,Kalpabrishykha,Sindhuli,Central,9.83,6.63,5.19,6.55,5.87,7.26,Highest
C-BAG-27-030,Kapan,Kathmandu,Central,9.11,7.82,8.86,1.82,5.34,7.25,Highest
C-BAG-23-046,Mankha,Sindhupalchok,Central,8.71,6.49,6.85,6.57,6.71,7.24,Highest
C-BAG-23-077,ThuloSirubari,Sindhupalchok,Central,8.96,6.31,6.85,6.57,6.71,7.24,Highest
C-BAG-30-037,Pida,Dhading,Central,9.39,6.75,6.82,5.15,5.99,7.24,Highest
C-JAN-19-043,Ishworpur,Sarlahi,Central,8.37,7.22,4.21,8.35,6.28,7.24,Highest
C-BAG-30-013,Gajuri,Dhading,Central,9.47,6.68,6.82,5.15,5.99,7.24,Highest
C-NAR-32-069,Paurai,Rautahat,Central,8.42,6.65,4.38,9.14,6.76,7.23,Highest
C-BAG-23-014,Choutara,Sindhupalchok,Central,8.94,6.30,6.85,6.57,6.71,7.23,Highest
C-JAN-21-031,Lakhanpur,Ramechhap,Central,9.03,6.33,7.16,6.06,6.61,7.23,Highest
C-JAN-19-076,Parwanipur,Sarlahi,Central,9.14,6.56,4.21,8.35,6.28,7.22,Highest
C-JAN-20-034,Mahadevsthan,Sindhuli,Central,10.00,6.42,5.19,6.55,5.87,7.22,Highest
C-JAN-18-045,Maisthan,Mahottari,Central,8.70,6.68,4.33,8.62,6.48,7.22,Highest
C-NAR-32-047,Kakanpur,Rautahat,Central,8.33,6.68,4.38,9.14,6.76,7.22,Highest
C-BAG-30-005,Bhumesthan,Dhading,Central,9.32,6.73,6.82,5.15,5.99,7.22,Highest
C-BAG-23-002,Badegau,Sindhupalchok,Central,8.99,6.23,6.85,6.57,6.71,7.21,Highest
C-JAN-21-039,Pakarbas,Ramechhap,Central,8.94,6.35,7.16,6.06,6.61,7.21,Highest
C-BAG-30-004,Benighat,Dhading,Central,9.41,6.66,6.82,5.15,5.99,7.21,Highest
C-BAG-25-027,LalitpurN.P.,Lalitpur,Central,9.11,8.92,8.40,0.82,4.61,7.21,Highest
C-JAN-19-056,Lalbandi,Sarlahi,Central,8.56,6.95,4.21,8.35,6.28,7.20,Highest
C-BAG-30-048,Thakre,Dhading,Central,9.37,6.67,6.82,5.15,5.99,7.20,Highest
C-JAN-18-028,Gaushala,Mahottari,Central,8.16,7.07,4.33,8.62,6.48,7.20,Highest
C-BAG-30-026,Kumpur,Dhading,Central,9.33,6.68,6.82,5.15,5.99,7.20,Highest
C-NAR-32-086,SakhuwaDhamaura,Rautahat,Central,8.05,6.84,4.38,9.14,6.76,7.19,Highest
C-BAG-30-018,Jogimara,Dhading,Central,9.56,6.49,6.82,5.15,5.99,7.19,Highest
C-BAG-23-006,Bahrabise,Sindhupalchok,Central,8.61,6.43,6.85,6.57,6.71,7.19,Highest
C-BAG-30-016,Jeewanpur,Dhading,Central,9.41,6.59,6.82,5.15,5.99,7.18,Highest
C-BAG-23-034,Jyamire,Sindhupalchok,Central,8.82,6.25,6.85,6.57,6.71,7.18,Highest
C-BAG-23-003,Bansbari,Sindhupalchok,Central,8.92,6.18,6.85,6.57,6.71,7.18,Highest
C-JAN-19-064,MalangawaN.P.,Sarlahi,Central,8.02,7.35,4.21,8.35,6.28,7.18,Highest
C-BAG-23-016,Dubachour,Sindhupalchok,Central,8.78,6.27,6.85,6.57,6.71,7.18,Highest
C-JAN-19-027,Dhungrekhola,Sarlahi,Central,8.53,6.90,4.21,8.35,6.28,7.18,Highest
